train_window,ticker,factor_cluster,sector
2009-12,A,5,Health Care
2009-12,AA,7,Materials
2009-12,AAON,5,Industrials
2009-12,AAPL,7,Information Technology
2009-12,ABT,4,Health Care
2009-12,ACGL,4,Financials
2009-12,ACHC,6,Health Care
2009-12,ACN,5,Information Technology
2009-12,ADBE,5,Information Technology
2009-12,ADC,6,Real Estate
2009-12,ADI,4,Information Technology
2009-12,ADM,5,Consumer Staples
2009-12,ADP,5,Industrials
2009-12,ADSK,7,Information Technology
2009-12,AEE,5,Utilities
2009-12,AEP,5,Utilities
2009-12,AES,5,Utilities
2009-12,AFG,4,Financials
2009-12,AFL,1,Financials
2009-12,AGCO,7,Industrials
2009-12,AGO,1,Financials
2009-12,AIT,6,Industrials
2009-12,AIZ,4,Financials
2009-12,AJG,4,Financials
2009-12,AKAM,7,Information Technology
2009-12,ALB,5,Materials
2009-12,ALGN,1,Health Care
2009-12,ALK,6,Industrials
2009-12,ALL,4,Financials
2009-12,ALNY,6,Health Care
2009-12,AMAT,5,Information Technology
2009-12,AMD,7,Information Technology
2009-12,AME,5,Industrials
2009-12,AMG,6,Financials
2009-12,AMGN,6,Health Care
2009-12,AMKR,7,Information Technology
2009-12,AMT,4,Real Estate
2009-12,AMZN,7,Consumer Discretionary
2009-12,AN,5,Consumer Discretionary
2009-12,AON,5,Financials
2009-12,AOS,6,Industrials
2009-12,APA,7,Energy
2009-12,APD,4,Materials
2009-12,APH,7,Information Technology
2009-12,ARE,6,Real Estate
2009-12,ARW,7,Information Technology
2009-12,ASH,1,Materials
2009-12,ATI,7,Industrials
2009-12,ATO,5,Utilities
2009-12,ATR,5,Materials
2009-12,AU,7,Materials
2009-12,AVB,4,Real Estate
2009-12,AVT,7,Information Technology
2009-12,AVY,4,Materials
2009-12,AXON,6,Industrials
2009-12,AXP,1,Financials
2009-12,AXS,4,Financials
2009-12,AYI,2,Industrials
2009-12,AZO,6,Consumer Discretionary
2009-12,BA,4,Industrials
2009-12,BAC,3,Financials
2009-12,BALL,4,Materials
2009-12,BAX,4,Health Care
2009-12,BBWI,2,Consumer Discretionary
2009-12,BBY,6,Consumer Discretionary
2009-12,BC,1,Consumer Discretionary
2009-12,BDX,4,Health Care
2009-12,BEN,5,Financials
2009-12,BF.A,4,Consumer Staples
2009-12,BF.B,4,Consumer Staples
2009-12,BG,7,Consumer Staples
2009-12,BIIB,6,Health Care
2009-12,BIO,4,Health Care
2009-12,BKNG,1,Consumer Discretionary
2009-12,BKR,7,Energy
2009-12,BLK,7,Financials
2009-12,BMRN,7,Health Care
2009-12,BMY,4,Health Care
2009-12,BNY,4,Financials
2009-12,BOKF,5,Financials
2009-12,BPOP,3,Financials
2009-12,BRK.B,4,Financials
2009-12,BRKR,7,Health Care
2009-12,BRO,4,Financials
2009-12,BSX,6,Health Care
2009-12,BWA,5,Consumer Discretionary
2009-12,BXP,4,Real Estate
2009-12,BYD,1,Consumer Discretionary
2009-12,C,3,Financials
2009-12,CACC,7,Financials
2009-12,CACI,5,Industrials
2009-12,CAG,4,Consumer Staples
2009-12,CAH,5,Health Care
2009-12,CAR,1,Industrials
2009-12,CASY,5,Consumer Staples
2009-12,CAT,1,Industrials
2009-12,CB,4,Financials
2009-12,CBRE,2,Real Estate
2009-12,CBSH,4,Financials
2009-12,CCI,7,Real Estate
2009-12,CCK,6,Materials
2009-12,CCL,4,Consumer Discretionary
2009-12,CDNS,7,Information Technology
2009-12,CFR,4,Financials
2009-12,CGNX,7,Information Technology
2009-12,CHD,5,Consumer Staples
2009-12,CHDN,2,Consumer Discretionary
2009-12,CHE,6,Health Care
2009-12,CHH,6,Consumer Discretionary
2009-12,CHRW,4,Industrials
2009-12,CI,7,Health Care
2009-12,CIEN,6,Information Technology
2009-12,CINF,4,Financials
2009-12,CL,4,Consumer Staples
2009-12,CLF,7,Materials
2009-12,CLH,6,Industrials
2009-12,CLX,4,Consumer Staples
2009-12,CMCSA,2,Communication Services
2009-12,CME,6,Financials
2009-12,CMI,5,Industrials
2009-12,CMS,5,Utilities
2009-12,CNA,4,Financials
2009-12,CNC,7,Health Care
2009-12,CNP,5,Utilities
2009-12,COF,1,Financials
2009-12,COHR,6,Information Technology
2009-12,COKE,6,Consumer Staples
2009-12,COLB,6,Financials
2009-12,COLM,4,Consumer Discretionary
2009-12,COO,7,Health Care
2009-12,COP,7,Energy
2009-12,COR,5,Health Care
2009-12,COST,4,Consumer Staples
2009-12,CPB,4,Consumer Staples
2009-12,CPRT,6,Industrials
2009-12,CPT,4,Real Estate
2009-12,CRH,5,Materials
2009-12,CRL,6,Health Care
2009-12,CRM,7,Information Technology
2009-12,CRS,7,Materials
2009-12,CRUS,6,Information Technology
2009-12,CSCO,5,Information Technology
2009-12,CSGP,6,Real Estate
2009-12,CSL,5,Industrials
2009-12,CSX,4,Industrials
2009-12,CTAS,5,Industrials
2009-12,CTSH,5,Information Technology
2009-12,CUBE,2,Real Estate
2009-12,CUZ,2,Real Estate
2009-12,CVS,5,Health Care
2009-12,CVX,4,Energy
2009-12,CW,5,Industrials
2009-12,CXT,7,Industrials
2009-12,D,5,Utilities
2009-12,DAR,7,Consumer Staples
2009-12,DCI,5,Industrials
2009-12,DD,2,Materials
2009-12,DDS,1,Consumer Discretionary
2009-12,DE,7,Industrials
2009-12,DECK,7,Consumer Discretionary
2009-12,DGX,4,Health Care
