ticker,name,start_date,end_date,source
A,Agilent Technologies,2000-06-05,,fja05680_sp500_updated
AABA,,1999-12-08,2017-06-18,fja05680_sp500_updated
AAL,American Airlines Group,1996-01-02,1997-01-14,fja05680_sp500_updated
AAL,American Airlines Group,2015-03-23,2024-09-22,fja05680_sp500_updated
AAMRQ,,1996-01-02,2003-03-13,fja05680_sp500_updated
AAP,,2015-07-09,2023-08-24,fja05680_sp500_updated
AAPL,Apple Inc.,1996-01-02,,fja05680_sp500_updated
ABBV,AbbVie,2013-01-02,,fja05680_sp500_updated
ABC,,2001-08-30,2023-08-29,fja05680_sp500_updated
ABI,,1996-01-02,2008-11-23,fja05680_sp500_updated
ABKFQ,,2000-12-11,2008-06-10,fja05680_sp500_updated
ABMD,,2018-05-31,2022-12-21,fja05680_sp500_updated
ABNB,Airbnb,2023-09-18,,fja05680_sp500_updated
ABS,,1996-01-02,2006-06-01,fja05680_sp500_updated
ABT,Abbott Laboratories,1996-01-02,,fja05680_sp500_updated
ABX,,1996-01-02,2002-07-21,fja05680_sp500_updated
ACAS,,2007-07-09,2009-03-03,fja05680_sp500_updated
ACGL,Arch Capital Group,2022-11-01,,fja05680_sp500_updated
ACKH,,1996-01-02,2000-11-16,fja05680_sp500_updated
ACN,Accenture,2011-07-06,,fja05680_sp500_updated
ACS,,2004-04-02,2010-02-07,fja05680_sp500_updated
ACV,,1996-01-02,2006-11-16,fja05680_sp500_updated
ADBE,Adobe Inc.,1997-05-06,,fja05680_sp500_updated
ADCT,,1999-08-02,2007-07-01,fja05680_sp500_updated
ADI,Analog Devices,1999-10-12,,fja05680_sp500_updated
ADM,Archer Daniels Midland,1996-01-02,,fja05680_sp500_updated
ADP,Automatic Data Processing,1996-01-02,,fja05680_sp500_updated
ADS,,2013-12-23,2020-06-21,fja05680_sp500_updated
ADSK,Autodesk,1996-01-02,,fja05680_sp500_updated
ADT,ADT Inc.,2012-10-02,2016-05-01,fja05680_sp500_updated
AEE,Ameren,1996-01-02,,fja05680_sp500_updated
AEP,American Electric Power,1996-01-02,,fja05680_sp500_updated
AES,AES Corporation,1998-10-02,,fja05680_sp500_updated
AET,,1996-01-02,2018-11-28,fja05680_sp500_updated
AFL,Aflac,1999-05-28,,fja05680_sp500_updated
AFS.A,,1998-04-08,2000-11-30,fja05680_sp500_updated
AGC,,1996-01-02,2001-08-28,fja05680_sp500_updated
AGN,,1996-01-02,2020-05-11,fja05680_sp500_updated
AIG,American International Group,1996-01-02,,fja05680_sp500_updated
AIV,,2003-03-14,2020-12-20,fja05680_sp500_updated
AIZ,Assurant,2007-04-10,,fja05680_sp500_updated
AJG,Arthur J. Gallagher & Co.,2016-05-31,,fja05680_sp500_updated
AKAM,Akamai Technologies,2007-07-12,,fja05680_sp500_updated
AKS,,2008-07-01,2011-12-18,fja05680_sp500_updated
AL,Air Lease Corporation,1996-01-02,2002-07-21,fja05680_sp500_updated
ALB,Albemarle Corporation,2016-07-01,,fja05680_sp500_updated
ALGN,Align Technology,2017-06-19,,fja05680_sp500_updated
ALK,Alaska Air Group,2016-05-13,2023-10-17,fja05680_sp500_updated
ALL,Allstate,1996-01-02,,fja05680_sp500_updated
ALLE,Allegion,2013-12-02,,fja05680_sp500_updated
ALTR,,2000-04-18,2015-12-27,fja05680_sp500_updated
ALXN,,2012-05-25,2021-07-20,fja05680_sp500_updated
AM,Antero Midstream,1996-01-02,2004-05-02,fja05680_sp500_updated
AMAT,Applied Materials,1996-01-02,,fja05680_sp500_updated
AMCC,,2001-01-02,2006-05-17,fja05680_sp500_updated
AMCR,Amcor,2019-06-07,,fja05680_sp500_updated
AMD,Advanced Micro Devices,1996-01-02,2013-09-22,fja05680_sp500_updated
AMD,Advanced Micro Devices,2017-03-20,,fja05680_sp500_updated
AME,Ametek,2013-09-23,,fja05680_sp500_updated
AMG,Affiliated Managers Group,2014-07-01,2019-12-22,fja05680_sp500_updated
AMGN,Amgen,1996-01-02,,fja05680_sp500_updated
AMP,Ameriprise Financial,1996-01-02,1999-04-04,fja05680_sp500_updated
AMP,Ameriprise Financial,2005-10-03,,fja05680_sp500_updated
AMT,American Tower,2007-11-19,,fja05680_sp500_updated
