ticker,name,sector,yahoo_ticker,price_source,member_from,member_to,retained,n_valid_months,first_valid_month,last_valid_month,drop_reason
A,Agilent Technologies,Health Care,A,yahoo,2000-06-05,,True,312,2000-01-31,2025-12-31,
AABA,,Unknown,AABA,none,1999-12-08,2017-06-18,False,0,,,price_download_failed
AAL,American Airlines Group,Industrials,AAL,yahoo,1996-01-02,2024-09-22,True,243,2005-10-31,2025-12-31,
AAMRQ,,Unknown,AAMRQ,none,1996-01-02,2003-03-13,False,0,,,price_download_failed
AAP,,Unknown,AAP,yahoo,2015-07-09,2023-08-24,True,289,2001-12-31,2025-12-31,
AAPL,Apple Inc.,Information Technology,AAPL,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
ABBV,AbbVie,Health Care,ABBV,yahoo,2013-01-02,,True,155,2013-02-28,2025-12-31,
ABC,,Unknown,ABC,none,2001-08-30,2023-08-29,False,0,,,price_download_failed
ABI,,Unknown,ABI,yahoo,1996-01-02,2008-11-23,True,6,2025-07-31,2025-12-31,
ABKFQ,,Unknown,ABKFQ,none,2000-12-11,2008-06-10,False,0,,,price_download_failed
ABMD,,Unknown,ABMD,none,2018-05-31,2022-12-21,False,0,,,price_download_failed
ABNB,Airbnb,Consumer Discretionary,ABNB,yahoo,2023-09-18,,True,60,2021-01-31,2025-12-31,
ABS,,Unknown,ABS,yahoo,1996-01-02,2006-06-01,True,10,2018-09-30,2019-06-30,
ABT,Abbott Laboratories,Health Care,ABT,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
ABX,,Unknown,ABX,yahoo,1996-01-02,2002-07-21,True,63,2020-10-31,2025-12-31,
ACAS,,Unknown,ACAS,none,2007-07-09,2009-03-03,False,0,,,price_download_failed
ACGL,Arch Capital Group,Financials,ACGL,yahoo,2022-11-01,,True,312,2000-01-31,2025-12-31,
ACKH,,Unknown,ACKH,none,1996-01-02,2000-11-16,False,0,,,price_download_failed
ACN,Accenture,Information Technology,ACN,yahoo,2011-07-06,,True,293,2001-08-31,2025-12-31,
ACS,,Unknown,ACS,none,2004-04-02,2010-02-07,False,0,,,price_download_failed
ACV,,Unknown,ACV,yahoo,1996-01-02,2006-11-16,True,127,2015-06-30,2025-12-31,
ADBE,Adobe Inc.,Information Technology,ADBE,yahoo,1997-05-06,,True,312,2000-01-31,2025-12-31,
ADCT,,Unknown,ADCT,yahoo,1999-08-02,2007-07-01,True,67,2020-06-30,2025-12-31,
ADI,Analog Devices,Information Technology,ADI,yahoo,1999-10-12,,True,312,2000-01-31,2025-12-31,
ADM,Archer Daniels Midland,Consumer Staples,ADM,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
ADP,Automatic Data Processing,Industrials,ADP,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
ADS,,Unknown,ADS,none,2013-12-23,2020-06-21,False,0,,,price_download_failed
ADSK,Autodesk,Information Technology,ADSK,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
ADT,ADT Inc.,Consumer Discretionary,ADT,yahoo,2012-10-02,2016-05-01,True,95,2018-02-28,2025-12-31,
AEE,Ameren,Utilities,AEE,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
AEP,American Electric Power,Utilities,AEP,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
AES,AES Corporation,Utilities,AES,yahoo,1998-10-02,,True,312,2000-01-31,2025-12-31,
AET,,Unknown,AET,yahoo,1996-01-02,2018-11-28,True,227,2000-01-31,2018-11-30,
AFL,Aflac,Financials,AFL,yahoo,1999-05-28,,True,312,2000-01-31,2025-12-31,
AFS.A,,Unknown,AFS-A,none,1998-04-08,2000-11-30,False,0,,,price_download_failed
AGC,,Unknown,AGC,none,1996-01-02,2001-08-28,False,0,,,price_download_failed
AGN,,Unknown,AGN,none,1996-01-02,2020-05-11,False,0,,,price_download_failed
AIG,American International Group,Financials,AIG,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
AIV,,Unknown,AIV,yahoo,2003-03-14,2020-12-20,True,312,2000-01-31,2025-12-31,
AIZ,Assurant,Financials,AIZ,yahoo,2007-04-10,,True,262,2004-03-31,2025-12-31,
AJG,Arthur J. Gallagher & Co.,Financials,AJG,yahoo,2016-05-31,,True,312,2000-01-31,2025-12-31,
AKAM,Akamai Technologies,Information Technology,AKAM,yahoo,2007-07-12,,True,312,2000-01-31,2025-12-31,
AKS,,Unknown,AKS,none,2008-07-01,2011-12-18,False,0,,,price_download_failed
AL,Air Lease Corporation,Industrials,AL,none,1996-01-02,2002-07-21,True,176,2011-05-31,2025-12-31,
ALB,Albemarle Corporation,Materials,ALB,yahoo,2016-07-01,,True,312,2000-01-31,2025-12-31,
ALGN,Align Technology,Health Care,ALGN,yahoo,2017-06-19,,True,299,2001-02-28,2025-12-31,
ALK,Alaska Air Group,Industrials,ALK,yahoo,2016-05-13,2023-10-17,True,312,2000-01-31,2025-12-31,
ALL,Allstate,Financials,ALL,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
ALLE,Allegion,Industrials,ALLE,yahoo,2013-12-02,,True,145,2013-12-31,2025-12-31,
ALTR,,Unknown,ALTR,none,2000-04-18,2015-12-27,False,0,,,price_download_failed
ALXN,,Unknown,ALXN,none,2012-05-25,2021-07-20,False,0,,,price_download_failed
AM,Antero Midstream,Energy,AM,yahoo,1996-01-02,2004-05-02,True,103,2017-06-30,2025-12-31,
AMAT,Applied Materials,Information Technology,AMAT,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
AMCC,,Unknown,AMCC,none,2001-01-02,2006-05-17,False,0,,,price_download_failed
AMCR,Amcor,Materials,AMCR,yahoo,2019-06-07,,True,163,2012-06-30,2025-12-31,
AMD,Advanced Micro Devices,Information Technology,AMD,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
AME,Ametek,Industrials,AME,yahoo,2013-09-23,,True,312,2000-01-31,2025-12-31,
AMG,Affiliated Managers Group,Financials,AMG,yahoo,2014-07-01,2019-12-22,True,312,2000-01-31,2025-12-31,
AMGN,Amgen,Health Care,AMGN,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
AMP,Ameriprise Financial,Financials,AMP,yahoo,1996-01-02,,True,243,2005-10-31,2025-12-31,
AMT,American Tower,Real Estate,AMT,yahoo,2007-11-19,,True,312,2000-01-31,2025-12-31,
AMTM,Amentum,Industrials,AMTM,yahoo,2024-09-30,2024-12-22,True,15,2024-10-31,2025-12-31,
AMZN,Amazon,Consumer Discretionary,AMZN,yahoo,2005-11-21,,True,312,2000-01-31,2025-12-31,
AN,AutoNation,Consumer Discretionary,AN,yahoo,1996-01-02,2017-08-07,True,312,2000-01-31,2025-12-31,
ANDV,,Unknown,ANDV,yahoo,2007-09-27,2018-09-30,True,226,2000-01-31,2018-10-31,
ANDW,,Unknown,ANDW,none,1996-01-02,2006-10-01,False,0,,,price_download_failed
ANET,Arista Networks,Information Technology,ANET,yahoo,2018-08-28,,True,138,2014-07-31,2025-12-31,
ANF,,Unknown,ANF,yahoo,2007-03-29,2013-12-22,True,312,2000-01-31,2025-12-31,
ANRZQ,,Unknown,ANRZQ,none,2011-06-02,2012-10-01,False,0,,,price_download_failed
ANSS,,Unknown,ANSS,none,2017-06-19,2025-07-17,False,0,,,price_download_failed
ANTM,,Unknown,ANTM,none,2002-07-25,2022-06-27,False,0,,,price_download_failed
AON,Aon plc,Financials,AON,yahoo,1996-04-23,,True,312,2000-01-31,2025-12-31,
AOS,A. O. Smith,Industrials,AOS,yahoo,2017-07-26,,True,312,2000-01-31,2025-12-31,
APA,APA Corporation,Energy,APA,yahoo,1997-07-28,,True,312,2000-01-31,2025-12-31,
APC,,Unknown,APC,none,1997-07-28,2019-08-08,False,0,,,price_download_failed
APCC,,Unknown,APCC,none,2000-06-01,2007-02-14,False,0,,,price_download_failed
APD,Air Products,Materials,APD,yahoo,1996-01-02,,True,312,2000-01-31,2025-12-31,
APH,Amphenol,Information Technology,APH,yahoo,2008-09-30,,True,312,2000-01-31,2025-12-31,
APO,Apollo Global Management,Financials,APO,yahoo,2024-12-23,,True,177,2011-04-30,2025-12-31,
