train_window,n_members,n_with_prices,n_with_60m,pct_prices,pct_60m
2004-12,495,284,271,57.37,54.75
2005-12,497,295,285,59.36,57.34
2006-12,497,302,293,60.76,58.95
2007-12,497,321,309,64.59,62.17
2008-12,498,328,308,65.86,61.85
2009-12,499,339,322,67.94,64.53
2010-12,497,345,333,69.42,67.0
2011-12,497,353,345,71.03,69.42
2012-12,497,362,349,72.84,70.22
2013-12,497,367,352,73.84,70.82
2014-12,499,373,358,74.75,71.74
2015-12,502,392,369,78.09,73.51
2016-12,506,411,390,81.23,77.08
2017-12,505,422,399,83.56,79.01
2018-12,505,426,412,84.36,81.58
2019-12,505,440,428,87.13,84.75
2020-12,505,451,439,89.31,86.93
2021-12,505,460,451,91.09,89.31
2022-12,503,476,466,94.63,92.64
2023-12,503,484,472,96.22,93.84
2024-12,503,491,481,97.61,95.63
