comparison,metric,point,boot_mean,ci_low,ci_high,p_two_sided
factor_neutral_e0 - min_var,style_concentration,-0.2506544088482823,-0.23610341057365009,-0.43653588567195994,-0.047060006276627715,0.024
factor_neutral_e0 - min_var,annualized_vol,0.0036991438478557737,0.0035343394899411433,-0.00020362725866889634,0.008103255562972285,0.066
factor_neutral_e0 - min_var,max_drawdown,-0.0015208861809934415,0.0005517115873707562,-0.017204066701668855,0.022362729478543734,0.782
factor_neutral_e0.05 - min_var,style_concentration,-0.18555928677001277,-0.18585667300953984,-0.3364139055676186,-0.04310314407202537,0.01
factor_neutral_e0.05 - min_var,annualized_vol,0.0016018090744103763,0.001497391875420706,-0.0017873415851194735,0.005325957310587517,0.4
factor_neutral_e0.05 - min_var,max_drawdown,0.003850106576480994,0.003258370205598444,-0.01590355496345761,0.02166032107673929,0.434
factor_neutral_e0.1 - min_var,style_concentration,-0.10730342499116596,-0.11761721378821031,-0.23026871218036218,-0.018166943450520907,0.01
factor_neutral_e0.1 - min_var,annualized_vol,0.00010516178960845446,6.164759230746367e-05,-0.002612298798601721,0.0027884857662054735,0.978
factor_neutral_e0.1 - min_var,max_drawdown,0.006152585386572151,0.00492091356830916,-0.008475814112726476,0.01969245812239637,0.486
factor_neutral_e0.15 - min_var,style_concentration,-0.05002865377981136,-0.06522451477733429,-0.1542612249660626,0.015058984642016217,0.116
factor_neutral_e0.15 - min_var,annualized_vol,-0.00018197065700151227,-0.00020426133934888803,-0.00224705559710621,0.0017962885954005334,0.818
factor_neutral_e0.15 - min_var,max_drawdown,0.0055650740259797216,0.0040956039037257095,-0.00684197331063264,0.016533385236930053,0.476
