portfolio,alpha,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,r_squared,style_concentration,n_months
equal_weight,-0.0005410910308570327,0.982756738752816,0.166132763712758,0.18457066065819347,0.16992226440679176,0.07416949001449873,0.9589224073540894,0.5947951787922419,156
factor_neutral_e0,3.8547262522760795e-05,0.7896128027499814,0.05724526485129308,-0.00651217628681261,0.14373788785016375,0.3179794867113468,0.7885325323291108,0.5254748156996163,156
factor_neutral_e0.05,-4.4489226632477095e-05,0.7656672955337438,0.054458007925365634,-0.029648894524804244,0.1767335425497147,0.3297294927780016,0.763235546524424,0.5905699377778861,156
factor_neutral_e0.1,-0.0002000055885884055,0.7496710995998727,0.048236016005288665,-0.05246576067607677,0.2112092529180332,0.3569147699573337,0.7473083347616032,0.6688257995567324,156
factor_neutral_e0.15,-0.0003068177082042123,0.7410793904578623,0.051941544627499746,-0.06540992457960199,0.2384548498108237,0.370294251750162,0.7371074061745135,0.7261005707680874,156
herc_corr,-5.959421635130151e-05,0.7847356865245952,0.009564052076596635,0.07499533896836538,0.23478352527619,0.25454069778111604,0.66507547126335,0.5738836141022681,156
hrp_corr_single,-0.00024264594367472787,0.8633762678414423,0.07783097605877567,0.05193272833193699,0.23945185965730717,0.18008076070620005,0.9024852278225695,0.5492963247542199,156
hrp_corr_ward,-0.00032020088811762163,0.8531327067083969,0.06165966532593051,0.07710791726429311,0.2520569850161767,0.17750720382008028,0.8927728918124783,0.5683317714264806,156
min_var,-0.0005145696584419527,0.726362908581494,0.03773591857155853,-0.07419677478671682,0.2762676472611976,0.38792888392842606,0.7069012603664553,0.776129224547899,156
nco_corr,-0.0001579926470400997,0.7213432483722331,-0.06587156679598455,-0.04049204204210418,0.3169703292044377,0.3749069895864444,0.7251021148720449,0.7982409276289708,156
