portfolio,compared_to,metric,point,ci_low,ci_high,p_two_sided
hrp_corr_single,min_var,style_concentration,-0.22683289979367915,-0.5916313477244894,0.001841850679386862,0.052
hrp_corr_single,min_var,annualized_vol,0.008917533637434305,-0.0010240176891756676,0.01770629228083396,0.084
hrp_corr_ward,min_var,style_concentration,-0.2077974531214184,-0.6028944281286622,0.017639820116520617,0.086
hrp_corr_ward,min_var,annualized_vol,0.008232348959415658,-0.0016535609393213684,0.017603461367733664,0.12
herc_corr,min_var,style_concentration,-0.20224561044563094,-0.47284554222064484,0.2265693020378761,0.52
herc_corr,min_var,annualized_vol,0.016082012927398442,0.003629606680691221,0.027668087467412086,0.014
nco_corr,min_var,style_concentration,0.0221117030810718,-0.14781537947779538,0.20664777937930784,0.64
nco_corr,min_var,annualized_vol,-0.0036088632544453436,-0.00814540902976358,0.0006486424833262869,0.082
hrp_corr_single,equal_weight,style_concentration,-0.04549885403802201,-0.1469206715465533,0.22940882979536315,0.522
hrp_corr_single,equal_weight,annualized_vol,-0.01992545452059405,-0.027593333676920257,-0.012339271429057457,0.0
hrp_corr_ward,equal_weight,style_concentration,-0.02646340736576125,-0.13268225179502197,0.20974625893920104,0.656
hrp_corr_ward,equal_weight,annualized_vol,-0.020610639198612696,-0.0277724167429054,-0.012798432083752732,0.0
herc_corr,equal_weight,style_concentration,-0.020911564689973794,-0.16529001388584597,0.6364110093261276,0.546
herc_corr,equal_weight,annualized_vol,-0.012760975230629912,-0.027522270942164737,0.001924583020244643,0.102
nco_corr,equal_weight,style_concentration,0.20344574883672895,0.012570798509384844,0.6995650304796628,0.038
nco_corr,equal_weight,annualized_vol,-0.0324518514124737,-0.04777438123992502,-0.014886152419019876,0.0
