space,from_window,to_window,n_common,ari
correlation,2012-12,2013-12,339,0.2802699790621936
correlation,2013-12,2014-12,342,0.22849699354666703
correlation,2014-12,2015-12,349,0.28081764390541863
correlation,2015-12,2016-12,361,0.27162289943903817
correlation,2016-12,2017-12,378,0.2785617183153933
correlation,2017-12,2018-12,384,0.31022639662196
correlation,2018-12,2019-12,395,0.32313913208987133
correlation,2019-12,2020-12,415,0.2757569430968436
correlation,2020-12,2021-12,428,0.29422145573544733
correlation,2021-12,2022-12,446,0.302176849973261
correlation,2022-12,2023-12,457,0.4323325914812724
correlation,2023-12,2024-12,460,0.2438750699590235
factor,2012-12,2013-12,339,0.2398184369815431
factor,2013-12,2014-12,342,0.2594755856699547
factor,2014-12,2015-12,349,0.2480784061712747
factor,2015-12,2016-12,361,0.21729301131379722
factor,2016-12,2017-12,378,0.2513532029431834
factor,2017-12,2018-12,384,0.2418289237497311
factor,2018-12,2019-12,395,0.3002240641351464
factor,2019-12,2020-12,415,0.15709322846237098
factor,2020-12,2021-12,428,0.20279783075732224
factor,2021-12,2022-12,446,0.3083266755354714
factor,2022-12,2023-12,457,0.29829897050756243
factor,2023-12,2024-12,460,0.29115803067527
