allocator,space,k_variant,k,style_concentration,ann_vol,turnover
herc,correlation,primary,10,0.5738836141022683,0.14312302258628615,0.6006465494612098
nco,correlation,primary,10,0.7982409276289721,0.12343214640444237,0.5643233120954337
herc,correlation,own_corr,2,0.5578849060387429,0.13916794013958042,0.2916594063889624
nco,correlation,own_corr,2,0.7943313656951909,0.12908177470685253,0.5533686139493047
herc,correlation,own_factor,2,0.5578849060387429,0.13916794013958042,0.2916594063889624
nco,correlation,own_factor,2,0.7943313656951909,0.12908177470685253,0.5533686139493047
herc,factor,primary,10,0.6620752312244548,0.1524635203123399,0.587509269249563
nco,factor,primary,10,0.7369573292889002,0.12468123516967218,0.6049193485283909
herc,factor,own_corr,2,0.5959271226422951,0.14880986637653446,0.20358463995409642
nco,factor,own_corr,2,0.8801016508505355,0.12787593108866713,0.5557252768328756
herc,factor,own_factor,2,0.5959271226422951,0.14880986637653446,0.20358463995409642
nco,factor,own_factor,2,0.8801016508505355,0.12787593108866713,0.5557252768328756
nco,correlation,kmeans,10,0.7946874625152562,0.12334105737556757,0.5754841806827103
nco,factor,kmeans,10,0.7651847902924416,0.12156023330141083,0.5814073380286208
