allocator,metric,point,ci_low,ci_high,p_two_sided,n_months
hrp,style_concentration,0.011828007269064189,-0.015503860438579686,0.045964023657956044,0.426,156
hrp,annualized_vol,0.0003099290789232989,-0.0006336850464433053,0.0012858523463734914,0.542,156
hrp,sharpe_gross,0.005296000595270689,-0.01842201780257212,0.03053237529864947,0.714,156
hrp,sharpe_net,0.005371038910486736,-0.018359890885633355,0.030624718468860467,0.712,156
hrp,max_drawdown,0.006025513980887354,-0.008901258677052696,0.010717665935416395,0.784,156
herc,style_concentration,0.0881916171221867,-0.5393322771257075,0.2427722629740912,0.914,156
herc,annualized_vol,0.009340497726053887,-0.0038918643981766658,0.021871184851558874,0.172,156
herc,sharpe_gross,-0.04535394080162103,-0.3297867245197973,0.24973153999496267,0.776,156
herc,sharpe_net,-0.04518573045589569,-0.33106088022829566,0.2500042072562566,0.778,156
herc,max_drawdown,-0.013374936567231988,-0.08096002755505885,0.04224572839259372,0.474,156
nco,style_concentration,-0.06128359834007058,-0.15376912109303195,0.10569006393049295,0.528,156
nco,annualized_vol,0.0012490887652299582,-0.003937237242429499,0.006455320899637721,0.648,156
nco,sharpe_gross,-0.03656160992851565,-0.16288651292889628,0.07087942361192408,0.53,156
nco,sharpe_net,-0.036804863923524,-0.16309673080268858,0.07067271248039406,0.53,156
nco,max_drawdown,0.00892795366074206,-0.06825605112897785,0.02448295044284521,0.644,156
