portfolio,n_months,sharpe_gross,sharpe_net,dsr_gross,dsr_net,n_trials
hrp_factor_ov_e0.1,156,0.8376843481040155,0.8357513401695528,0.7294515604589442,0.7275171813291255,37
hrp_factor_ov_e0.15,156,0.835407471337979,0.8335748408734441,0.7289208843131243,0.7270716819785744,37
hrp_corr_single,156,0.8338453642428715,0.8321681221363194,0.7283341560501563,0.7266324060092686,37
hrp_corr_ov_e0.1,156,0.8352697961930379,0.8333242080936685,0.7256638601303417,0.7237066134738922,37
hrp_factor,156,0.8295937986748927,0.8279359783208051,0.7233998034363506,0.7217000907835303,37
hrp_corr_ov_e0.15,156,0.8305850018359251,0.8287219292072443,0.7209369063895933,0.7190425945871725,37
hrp_factor_ov_e0.05,156,0.8300980074032058,0.8280323565653538,0.719685671484332,0.7175933054423189,37
hrp_corr_ov_e0.05,156,0.8291643269106452,0.8270968907105753,0.717144581130081,0.7150463805006699,37
hrp_corr_ward,156,0.8242977980796227,0.8225649394103189,0.7144879865693191,0.7126988480876206,37
nco_corr,156,0.8029691723775713,0.7985638774975704,0.7113635265034096,0.7067615502315847,37
nco_corr_ov_e0.15,156,0.805827364667676,0.8015319085736896,0.7103731532937668,0.7058835432935147,37
nco_corr_ov_e0.1,156,0.8074169862509591,0.8031331333671047,0.7099141135425996,0.7054437499966845,37
nco_corr_ov_e0.05,156,0.7979507989783318,0.7937422512015022,0.6952955723005136,0.6908293240501807,37
factor_neutral_e0,156,0.7941136559713372,0.7900377322477142,0.6931502089951657,0.6887789448587026,37
hrp_factor_ov_e0,156,0.8052110799176736,0.8029118126663415,0.6889131130104602,0.6864935607247868,37
hrp_corr_ov_e0,156,0.8051982632708735,0.8029128111599927,0.687687628441831,0.685282230110355,37
nco_corr_ov_e0,156,0.7910569569435881,0.7869191503481042,0.6830771440613679,0.6786374185537207,37
nco_factor_ov_e0,156,0.7887016878192427,0.7844804474363771,0.6797793436076034,0.675192711557697,37
equal_weight,156,0.7814818079839424,0.7808391515125817,0.6791320173634878,0.6783763703341036,37
factor_neutral_e0.05,156,0.7823954757430022,0.7783643745181411,0.6780016471138287,0.6735843220560681,37
nco_factor,156,0.7664075624490548,0.7617590135740455,0.6720362130513776,0.6667422937630618,37
nco_factor_ov_e0.05,156,0.7763821365178459,0.7720517971755095,0.6703989664700377,0.6655836210501551,37
factor_neutral_e0.1,156,0.7676397590525291,0.763623525465872,0.6613305124158922,0.6568372195936849,37
nco_factor_ov_e0.1,156,0.7620145864664217,0.7576111898523313,0.6567141479055073,0.6516829320694715,37
nco_factor_ov_e0.15,156,0.7585409392325485,0.7540720563248429,0.6558192247627963,0.6506711933203713,37
factor_neutral_e0.15,156,0.7549770234560909,0.750974265533406,0.6480762708827181,0.6435204391088449,37
min_var,156,0.7276607761394808,0.7237724751476002,0.6192449632766788,0.6146531208252062,37
herc_corr,156,0.7373801207556917,0.7333944879176378,0.6086007687553786,0.6040776576012052,37
herc_corr_ov_e0.15,156,0.7164060895948662,0.7120983595328264,0.5819291332178689,0.5769320219650236,37
herc_corr_ov_e0.1,156,0.7133859122874617,0.7090657436873331,0.5757025337319956,0.570694754124952,37
herc_corr_ov_e0,156,0.717274435795987,0.7129801842385873,0.5746256827969541,0.5697034161084259,37
herc_factor,156,0.6920261799540705,0.6882087574617417,0.5715296556614303,0.5668224036654669,37
herc_corr_ov_e0.05,156,0.711222713755914,0.7069068431673523,0.5697869833994942,0.5648010022676869,37
herc_factor_ov_e0.05,156,0.6859580545688708,0.6817916115523425,0.5635445142838796,0.5584341422657165,37
herc_factor_ov_e0.1,156,0.6812316707468532,0.6771425996978988,0.5578323452247542,0.5527948858909999,37
herc_factor_ov_e0.15,156,0.6784815146992961,0.6744671928842104,0.5549380053942939,0.5499706485531753,37
herc_factor_ov_e0,156,0.6727454423479432,0.6684416825132862,0.5482807376387367,0.5429303543110788,37
