allocator,space,base,overlay,metric,point,ci_low,ci_high,p_two_sided
hrp,corr,hrp_corr_ward,hrp_corr_ov_e0,style_concentration,-0.11786372426483743,-0.2045070294185392,-0.0662495832263548,0.012
hrp,corr,hrp_corr_ward,hrp_corr_ov_e0,annualized_vol,0.0033006071100853684,0.0005430354477600472,0.005720225159641205,0.016
herc,corr,herc_corr,herc_corr_ov_e0,style_concentration,-0.1874288839664,-0.3956667701179403,0.015703953802077918,0.066
herc,corr,herc_corr,herc_corr_ov_e0,annualized_vol,0.0021663578690561125,-0.004675223151545957,0.00834595362583382,0.526
nco,corr,nco_corr,nco_corr_ov_e0,style_concentration,-0.32987357034872367,-0.4998593313984101,-0.1360709845845729,0.002
nco,corr,nco_corr,nco_corr_ov_e0,annualized_vol,0.005077273402440435,-0.0006787344246190683,0.010234770883000528,0.072
hrp,factor,hrp_factor,hrp_factor_ov_e0,style_concentration,-0.11471538653055491,-0.21290708585491597,-0.0645072726174231,0.008
hrp,factor,hrp_factor,hrp_factor_ov_e0,annualized_vol,0.00344782597201318,0.0006593847203029944,0.005904117513724399,0.016
herc,factor,herc_factor,herc_factor_ov_e0,style_concentration,-0.11595142354083898,-0.20417515546107579,-0.026193228483014763,0.006
herc,factor,herc_factor,herc_factor_ov_e0,annualized_vol,-0.00127822094662422,-0.0033598323720410808,0.0012177587598362774,0.28
nco,factor,nco_factor,nco_factor_ov_e0,style_concentration,-0.22086778813316654,-0.45598963459323405,-0.06848218214988892,0.0
nco,factor,nco_factor,nco_factor_ov_e0,annualized_vol,0.006030356811820181,0.0004412256923635345,0.01120776412824576,0.04
