returns_type,portfolio,in_mcs,p_value,rank,n_months_used,n_months_dropped,status
gross,nco_corr,True,0.126,1,156,0,included
gross,nco_corr_ov_e0.15,True,0.126,2,156,0,included
gross,nco_factor,True,0.126,3,156,0,included
gross,nco_corr_ov_e0.1,True,0.126,4,156,0,included
gross,nco_factor_ov_e0.15,True,0.126,5,156,0,included
gross,nco_corr_ov_e0.05,True,0.126,6,156,0,included
gross,factor_neutral_e0.15,True,0.126,7,156,0,included
gross,min_var,True,0.126,8,156,0,included
gross,nco_factor_ov_e0.1,True,0.126,9,156,0,included
gross,factor_neutral_e0.1,True,0.126,10,156,0,included
gross,nco_corr_ov_e0,True,0.126,11,156,0,included
gross,factor_neutral_e0.05,True,0.126,12,156,0,included
gross,nco_factor_ov_e0.05,True,0.126,13,156,0,included
gross,nco_factor_ov_e0,True,0.126,14,156,0,included
gross,factor_neutral_e0,True,0.126,15,156,0,included
gross,hrp_corr_ov_e0.1,True,0.126,16,156,0,included
gross,hrp_corr_ov_e0.15,True,0.126,17,156,0,included
gross,hrp_corr_ward,True,0.126,18,156,0,included
gross,hrp_factor_ov_e0.15,True,0.126,19,156,0,included
gross,hrp_factor_ov_e0.1,True,0.126,20,156,0,included
gross,hrp_factor,True,0.126,21,156,0,included
gross,hrp_corr_ov_e0.05,True,0.126,22,156,0,included
gross,hrp_corr_single,True,0.126,23,156,0,included
gross,hrp_factor_ov_e0.05,True,0.126,24,156,0,included
gross,hrp_corr_ov_e0,True,0.126,25,156,0,included
gross,hrp_factor_ov_e0,True,0.126,26,156,0,included
gross,herc_corr_ov_e0.15,False,0.074,27,156,0,included
gross,herc_corr_ov_e0.1,False,0.057,28,156,0,included
gross,herc_corr,False,0.042,29,156,0,included
gross,herc_corr_ov_e0.05,False,0.046,30,156,0,included
gross,herc_corr_ov_e0,False,0.042,31,156,0,included
gross,herc_factor_ov_e0.05,False,0.042,32,156,0,included
gross,herc_factor_ov_e0,False,0.032,33,156,0,included
gross,herc_factor_ov_e0.1,False,0.042,34,156,0,included
gross,herc_factor_ov_e0.15,False,0.042,35,156,0,included
gross,herc_factor,False,0.032,36,156,0,included
gross,equal_weight,False,0.032,37,156,0,included
net,nco_corr,True,0.125,1,156,0,included
net,nco_corr_ov_e0.15,True,0.125,2,156,0,included
net,nco_factor,True,0.125,3,156,0,included
net,nco_corr_ov_e0.1,True,0.125,4,156,0,included
net,nco_factor_ov_e0.15,True,0.125,5,156,0,included
net,nco_corr_ov_e0.05,True,0.125,6,156,0,included
net,factor_neutral_e0.15,True,0.125,7,156,0,included
net,min_var,True,0.125,8,156,0,included
net,nco_factor_ov_e0.1,True,0.125,9,156,0,included
net,factor_neutral_e0.1,True,0.125,10,156,0,included
net,nco_corr_ov_e0,True,0.125,11,156,0,included
net,factor_neutral_e0.05,True,0.125,12,156,0,included
net,nco_factor_ov_e0.05,True,0.125,13,156,0,included
net,nco_factor_ov_e0,True,0.125,14,156,0,included
net,factor_neutral_e0,True,0.125,15,156,0,included
net,hrp_corr_ov_e0.1,True,0.125,16,156,0,included
net,hrp_corr_ov_e0.15,True,0.125,17,156,0,included
net,hrp_corr_ward,True,0.125,18,156,0,included
net,hrp_factor_ov_e0.15,True,0.125,19,156,0,included
net,hrp_factor_ov_e0.1,True,0.125,20,156,0,included
net,hrp_factor,True,0.125,21,156,0,included
net,hrp_corr_ov_e0.05,True,0.125,22,156,0,included
net,hrp_corr_single,True,0.125,23,156,0,included
net,hrp_factor_ov_e0.05,True,0.125,24,156,0,included
net,hrp_corr_ov_e0,True,0.125,25,156,0,included
net,hrp_factor_ov_e0,True,0.125,26,156,0,included
net,herc_corr_ov_e0.15,False,0.076,27,156,0,included
net,herc_corr_ov_e0.1,False,0.058,28,156,0,included
net,herc_corr,False,0.043,29,156,0,included
net,herc_corr_ov_e0.05,False,0.046,30,156,0,included
net,herc_corr_ov_e0,False,0.043,31,156,0,included
net,herc_factor_ov_e0.05,False,0.043,32,156,0,included
net,herc_factor_ov_e0,False,0.032,33,156,0,included
net,herc_factor_ov_e0.1,False,0.043,34,156,0,included
net,herc_factor_ov_e0.15,False,0.043,35,156,0,included
net,herc_factor,False,0.032,36,156,0,included
net,equal_weight,False,0.032,37,156,0,included
