portfolio,allocator,space,overlay,epsilon,n_months,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,alpha,r_squared,style_concentration,style_ci_low,style_ci_high,ann_vol,sharpe_gross,sharpe_net,max_drawdown,turnover,eff_n,dsr_gross,dsr_net,in_mcs_gross,in_mcs_net,mcs_p_gross,mcs_p_net,n_trials
equal_weight,equal_weight,benchmark,none,,156,0.982756738752816,0.166132763712758,0.1845706606581934,0.1699222644067917,0.0741694900144987,-0.000541091030857,0.9589224073540894,0.5947951787922419,0.4537119468465304,0.7215355149008729,0.1558839978169159,0.7814818079839424,0.7808391515125817,-0.26783084415192093,0.12126153432197964,410.84615384616603,0.6791320173634878,0.6783763703341036,False,False,0.032,0.032,37
min_var,min_var,benchmark,none,,156,0.726362908581494,0.0377359185715585,-0.0741967747867168,0.2762676472611976,0.387928883928426,-0.0005145696584419,0.7069012603664553,0.776129224547899,0.4915402272433922,1.3409601127723805,0.1270410096588875,0.7276607761394808,0.7237724751476002,-0.19000958562426173,0.5214999099239853,30.775093075940404,0.6192449632766788,0.6146531208252062,True,True,0.126,0.125,37
factor_neutral_e0,min_var_fn,benchmark,factor_neutral,0.0,156,0.7896128027499814,0.057245264851293,-0.0065121762868126,0.1437378878501637,0.3179794867113468,3.8547262522760795e-05,0.7885325323291108,0.5254748156996163,,,0.1307401535067433,0.7941136559713372,0.7900377322477142,-0.19153047180525518,0.5563022446972119,30.259103973360048,0.6931502089951657,0.6887789448587026,True,True,0.126,0.125,37
factor_neutral_e0.05,min_var_fn,benchmark,factor_neutral,0.05,156,0.7656672955337438,0.0544580079253656,-0.0296488945248042,0.1767335425497147,0.3297294927780016,-4.4489226632477095e-05,0.763235546524424,0.5905699377778861,,,0.1286428187332979,0.7823954757430022,0.7783643745181411,-0.18615947904778085,0.544059570742843,30.55068008219271,0.6780016471138287,0.6735843220560681,True,True,0.126,0.125,37
factor_neutral_e0.1,min_var_fn,benchmark,factor_neutral,0.1,156,0.7496710995998727,0.0482360160052886,-0.0524657606760767,0.2112092529180332,0.3569147699573337,-0.0002000055885884,0.7473083347616032,0.6688257995567324,,,0.127146171448496,0.7676397590525291,0.763623525465872,-0.1838570002376898,0.5370190456135794,30.55439540708037,0.6613305124158922,0.6568372195936849,True,True,0.126,0.125,37
factor_neutral_e0.15,min_var_fn,benchmark,factor_neutral,0.15,156,0.7410793904578623,0.0519415446274997,-0.0654099245796019,0.2384548498108237,0.370294251750162,-0.0003068177082042,0.7371074061745135,0.7261005707680874,,,0.126859039001886,0.7549770234560909,0.750974265533406,-0.184444511598282,0.5339594031327256,30.59070215202855,0.6480762708827181,0.6435204391088449,True,True,0.126,0.125,37
herc_corr,herc,correlation,base,,156,0.7847356865245952,0.0095640520765966,0.0749953389683653,0.23478352527619,0.254540697781116,-5.959421635130151e-05,0.66507547126335,0.5738836141022681,0.4054925760220336,1.2082279714164874,0.143123022586286,0.7373801207556917,0.7333944879176378,-0.24851169331975254,0.600646549461207,96.56667173398175,0.6086007687553786,0.6040776576012052,False,False,0.042,0.043,37
herc_corr_ov_e0,herc,correlation,overlay,0.0,156,,,,,,,,0.386454730135868,,,0.1452893804553421,0.717274435795987,0.7129801842385873,-0.2623338918926954,0.6482471909333145,74.25372610649019,0.5746256827969541,0.5697034161084259,False,False,0.042,0.043,37
herc_corr_ov_e0.05,herc,correlation,overlay,0.05,156,,,,,,,,0.4294717700742218,,,0.143862713637977,0.711222713755914,0.7069068431673523,-0.26009554934346735,0.6460431177923636,83.54194163375024,0.5697869833994942,0.5648010022676869,False,False,0.046,0.046,37
herc_corr_ov_e0.1,herc,correlation,overlay,0.1,156,,,,,,,,0.4669644303801872,,,0.1424231218643804,0.7133859122874617,0.7090657436873331,-0.2550605282756936,0.6425844479640214,90.59496520250504,0.5757025337319956,0.570694754124952,False,False,0.057,0.058,37
herc_corr_ov_e0.15,herc,correlation,overlay,0.15,156,,,,,,,,0.4980054616103877,,,0.1415449611598069,0.7164060895948662,0.7120983595328264,-0.2506907092312074,0.6381956205815319,94.68075674323607,0.5819291332178689,0.5769320219650236,False,False,0.074,0.076,37
hrp_corr_single,hrp,correlation,base,,156,0.8633762678414423,0.0778309760587756,0.0519327283319369,0.2394518596573071,0.1800807607062,-0.0002426459436747,0.9024852278225696,0.5492963247542199,0.375803898154842,0.8329643135623276,0.1359585432963218,0.8338453642428715,0.8321681221363194,-0.2235913351874994,0.24717957480815833,277.5532773037456,0.7283341560501563,0.7266324060092686,True,True,0.126,0.125,37
hrp_corr_ward,hrp,correlation,base,,156,0.8531327067083969,0.0616596653259305,0.0771079172642931,0.2520569850161767,0.1775072038200802,-0.0003202008881176,0.8927728918124783,0.5683317714264806,0.410630695826468,0.8131436312240706,0.1352733586183032,0.8242977980796227,0.8225649394103189,-0.22935780414895923,0.25419956387642156,283.97678740139196,0.7144879865693191,0.7126988480876206,True,True,0.126,0.125,37
hrp_corr_ov_e0,hrp,correlation,overlay,0.0,156,,,,,,,,0.4504680471616432,,,0.1385739657283886,0.8051982632708735,0.8029128111599927,-0.23959974659413263,0.3345814280498057,227.03883258751856,0.687687628441831,0.685282230110355,True,True,0.126,0.125,37
hrp_corr_ov_e0.05,hrp,correlation,overlay,0.05,156,,,,,,,,0.4827770766798892,,,0.1359328999538997,0.8291643269106452,0.8270968907105753,-0.2304773977569995,0.3002316184274635,255.1271796536721,0.717144581130081,0.7150463805006699,True,True,0.126,0.125,37
hrp_corr_ov_e0.1,hrp,correlation,overlay,0.1,156,,,,,,,,0.5226851555188746,,,0.1349891091356906,0.8352697961930379,0.8333242080936685,-0.2269270085213282,0.2823596419811404,271.55547917746895,0.7256638601303417,0.7237066134738922,True,True,0.126,0.125,37
hrp_corr_ov_e0.15,hrp,correlation,overlay,0.15,156,,,,,,,,0.5415840401437051,,,0.1350565056692232,0.8305850018359251,0.8287219292072443,-0.22778768601847055,0.27118296425912725,278.77800359137325,0.7209369063895933,0.7190425945871725,True,True,0.126,0.125,37
nco_corr,nco,correlation,base,,156,0.7213432483722331,-0.0658715667959845,-0.0404920420421041,0.3169703292044377,0.3749069895864444,-0.00015799264704,0.7251021148720449,0.7982409276289708,0.6272976163048029,1.2807858837371382,0.1234321464044422,0.8029691723775713,0.7985638774975704,-0.19131903389460592,0.564323312095432,48.64689299085384,0.7113635265034096,0.7067615502315847,True,True,0.126,0.125,37
nco_corr_ov_e0,nco,correlation,overlay,0.0,156,,,,,,,,0.4683673572802471,,,0.1285094198068826,0.7910569569435881,0.7869191503481042,-0.20109002373922447,0.5627616488199938,45.19795776062332,0.6830771440613679,0.6786374185537207,True,True,0.126,0.125,37
nco_corr_ov_e0.05,nco,correlation,overlay,0.05,156,,,,,,,,0.4999847884401651,,,0.1265698796602903,0.7979507989783318,0.7937422512015022,-0.1945598527937138,0.5616853480438414,46.96145769485323,0.6952955723005136,0.6908293240501807,True,True,0.126,0.125,37
